date,product_line,imp,clicks,spd,order7d,sales7d
11/15/2022,BE,570956,295,295,295,22125
11/15/2022,C,3624337,1323,1323,1323,584766
11/15/2022,E,2988142,11830,11830,11830,1478750
11/15/2022,G,554106,2206,4412,2206,1853040
11/15/2022,M,1123112,1429,1429,1429,85740
11/15/2022,O,5838227,11219,11219,11219,56095
11/15/2022,P,2521458,8236,16472,8236,642408
11/15/2022,N,108472,829,829,829,829
11/16/2022,BE,648441,970,2910,970,168780
11/16/2022,C,163961,835,835,835,325650
11/16/2022,E,5576876,32757,65514,32757,10089156
11/16/2022,G,6654777,11536,11536,11536,4026064
11/16/2022,M,955160,339,339,339,10170
11/16/2022,O,4088943,12611,12611,12611,5359675
11/16/2022,P,2302659,484,968,484,155848
11/16/2022,N,283808,432,432,432,432
11/17/2022,BE,108853,1170,1170,1170,338130
11/17/2022,C,1674892,2451,7353,2451,551475
11/17/2022,E,596613,11644,11644,11644,4098688
11/17/2022,G,6740887,5396,10792,5396,1019844
11/17/2022,M,779060,392,392,392,34496
11/17/2022,O,8270763,19108,19108,19108,3439440
11/17/2022,P,1442883,10046,10046,10046,5023000
11/17/2022,N,181650,269,269,269,269
11/18/2022,BE,264909,1092,1092,1092,143052
11/18/2022,C,455304,540,2160,540,241380
11/18/2022,E,1414369,10103,10103,10103,4910058
11/18/2022,G,3085704,8279,8279,8279,2707233
11/18/2022,M,1318094,684,684,684,10260
11/18/2022,O,6057363,7139,14278,7139,4054952
11/18/2022,P,6275080,11982,23964,11982,3942078
11/18/2022,N,193388,318,318,318,318
11/19/2022,BE,338407,682,2046,682,23870
11/19/2022,C,697666,2866,5732,2866,745160
11/19/2022,E,2357108,28149,56298,28149,13933755
11/19/2022,G,7364293,12477,24954,12477,2757417
11/19/2022,M,157930,243,243,243,8262
11/19/2022,O,14728199,19718,39436,19718,374642
11/19/2022,P,3293090,10926,10926,10926,1070748
11/19/2022,N,38530,222,222,222,222
11/20/2022,BE,10379,380,760,380,27360
11/20/2022,C,2726510,5382,21528,5382,608166
11/20/2022,E,6082565,20963,41926,20963,6980679
11/20/2022,G,3662569,12094,24188,12094,9155158
11/20/2022,M,214546,447,447,447,30843
11/20/2022,O,8534628,8990,8990,8990,1546280
11/20/2022,P,4795833,11425,34275,11425,7380550
11/21/2022,BE,173926,290,290,290,72790
11/21/2022,C,915596,2324,6972,2324,587972
11/21/2022,E,10133251,35438,35438,35438,10418772
11/21/2022,G,5342318,11169,11169,11169,7438554
11/21/2022,M,686293,268,268,268,2144
11/21/2022,O,12681370,16816,33632,16816,6406896
11/21/2022,P,5254824,7693,15386,7693,838537
11/22/2022,BE,622339,411,411,411,40278
11/22/2022,C,593969,986,986,986,441728
11/22/2022,E,8934330,38494,38494,38494,19939892
11/22/2022,G,2550046,2328,2328,2328,544752
11/22/2022,M,365595,144,144,144,2304
11/22/2022,O,12998364,8988,8988,8988,4062576
11/22/2022,P,614240,8723,8723,8723,5888025
11/23/2022,BE,634784,379,1137,379,67083
11/23/2022,C,3712219,2018,6054,2018,982766
11/23/2022,E,7677689,33865,33865,33865,5892510
11/23/2022,G,2798609,6994,6994,6994,587496
11/23/2022,M,1262999,1578,1578,1578,77322
11/23/2022,O,4975630,17386,34772,17386,4711606
11/23/2022,P,8343589,1414,2828,1414,370468
11/23/2022,N,183244,1084,1084,1084,1084
11/24/2022,BE,46493,397,794,397,52007
11/24/2022,C,139248,2125,8500,2125,760750
11/24/2022,E,10292825,17257,34514,17257,1915527
11/24/2022,G,3916495,8805,8805,8805,1901880
11/24/2022,M,1464535,1583,1583,1583,52239
11/24/2022,O,12913971,25033,50066,25033,5907788
11/24/2022,P,5528519,5666,5666,5666,2629024
11/24/2022,N,317201,479,479,479,479
11/25/2022,BE,144002,823,823,823,80654
11/25/2022,C,3085433,1203,3609,1203,697740
11/25/2022,E,1601814,35308,70616,35308,15994524
11/25/2022,G,6998074,10296,20592,10296,2419560
11/25/2022,M,969652,1282,1282,1282,17948
11/25/2022,O,6158086,17899,17899,17899,1002344
11/25/2022,P,4758347,661,1322,661,242587
11/25/2022,N,246631,480,480,480,480
11/26/2022,BE,582849,1544,4632,1544,250128
11/26/2022,C,2490261,334,334,334,110554
11/26/2022,E,2823221,6463,6463,6463,3128092
11/26/2022,G,1262896,5594,5594,5594,5392616
11/26/2022,M,44262,1389,1389,1389,112509
11/26/2022,O,14044110,14140,14140,14140,2587620
11/26/2022,P,1119868,10348,20696,10348,889928
11/26/2022,N,243040,263,263,263,263
11/27/2022,BE,338163,47,94,47,6486
11/27/2022,C,1021544,814,2442,814,464794
11/27/2022,E,1522786,5955,11910,5955,1542345
11/27/2022,G,375561,3430,6860,3430,2188340
11/27/2022,M,868100,1070,1070,1070,72760
11/27/2022,O,6235659,3838,7676,3838,2095548
11/27/2022,P,7184668,3067,6134,3067,708477
11/27/2022,N,146461,1059,1059,1059,1059
11/28/2022,BE,598602,214,428,214,60134
11/28/2022,C,2904371,3382,10146,3382,3382
11/28/2022,E,7227682,10698,10698,10698,5637846
11/28/2022,G,1795565,2753,5506,2753,1632529
11/28/2022,M,164684,1016,1016,1016,9144
11/28/2022,O,6897276,27216,27216,27216,11131344
11/28/2022,P,5533931,2530,2530,2530,465520
11/28/2022,N,210940,223,223,223,223
11/29/2022,BE,432453,449,1347,449,29185
11/29/2022,C,3270251,4883,9766,4883,991249
11/29/2022,E,1325282,18251,18251,18251,7482910
11/29/2022,G,321569,7249,14498,7249,4980063
11/29/2022,M,1334101,189,189,189,15498
11/29/2022,O,11127812,19841,39682,19841,2817422
11/29/2022,P,3163607,1041,3123,1041,501762
11/29/2022,N,233058,1007,1007,1007,1007
11/30/2022,BE,570499,1001,2002,1001,265265
11/30/2022,C,1160111,926,2778,926,99082
11/30/2022,E,4828563,6633,6633,6633,79596
11/30/2022,G,5235855,5897,5897,5897,1763203
11/30/2022,M,856253,1540,1540,1540,35420
11/30/2022,O,14816166,3537,3537,3537,806436
11/30/2022,P,3525310,11036,11036,11036,728376
11/30/2022,N,231079,1086,1086,1086,1086
12/1/2022,BE,169873,1121,2242,1121,285855
12/1/2022,C,466278,4345,8690,4345,304150
12/1/2022,E,2755261,13170,13170,13170,5636760
12/1/2022,G,4829967,1129,1129,1129,83546
12/1/2022,M,1242843,966,966,966,83076
12/1/2022,O,5616869,7900,7900,7900,4115900
12/1/2022,P,1726374,10261,10261,10261,5079195
12/1/2022,N,106663,424,424,424,424
12/2/2022,BE,273557,1323,5292,1323,371763
12/2/2022,C,1396803,1641,4923,1641,196920
12/2/2022,E,6989097,9155,18310,9155,3597915
12/2/2022,G,3962079,4842,9684,4842,242100
12/2/2022,M,1451566,1073,1073,1073,27898
12/2/2022,O,14546782,22802,22802,22802,12016654
12/2/2022,P,542632,12321,36963,12321,8575416
12/2/2022,N,337332,1038,1038,1038,1038
12/3/2022,BE,459715,905,1810,905,209055
12/3/2022,C,925304,1166,2332,1166,146916
12/3/2022,E,1668910,20307,40614,20307,5259513
12/3/2022,G,7179185,8335,8335,8335,2725545
12/3/2022,M,853230,928,928,928,73312
12/3/2022,O,10212440,25966,51932,25966,7815766
12/3/2022,P,4710676,10996,32988,10996,7554252
12/3/2022,N,260608,645,645,645,645
12/4/2022,BE,113547,49,147,49,10045
12/4/2022,C,2941481,3626,10878,3626,286454
12/4/2022,E,5285348,36194,36194,36194,4632832
12/4/2022,G,1806789,4299,8598,4299,980172
12/4/2022,M,811198,970,970,970,84390
12/4/2022,O,5219768,19792,19792,19792,5225088
12/4/2022,P,3843730,9172,9172,9172,1577584
12/5/2022,BE,9641,281,562,281,25571
12/5/2022,C,1645262,3072,6144,3072,178176
12/5/2022,E,6803681,29628,29628,29628,12532644
12/5/2022,G,6537725,9079,18158,9079,426713
12/5/2022,M,962540,542,542,542,48780
12/5/2022,O,6478986,11054,22108,11054,1901288
12/5/2022,P,2017542,8990,8990,8990,6877350
12/6/2022,BE,542372,1532,6128,1532,193032
12/6/2022,C,247001,771,3084,771,228987
12/6/2022,E,3242374,21871,43742,21871,9273304
12/6/2022,G,3922247,1490,2980,1490,820990
12/6/2022,M,222754,1442,1442,1442,33166
12/6/2022,O,12571886,11291,22582,11291,1162973
12/6/2022,P,3473731,9039,27117,9039,4293525
12/7/2022,BE,204058,1435,2870,1435,129150
12/7/2022,C,473168,5296,15888,5296,1588800
12/7/2022,E,6821359,23451,46902,23451,8090595
12/7/2022,G,6178142,5573,11146,5573,2585872
12/7/2022,M,667426,1302,1302,1302,59892
12/7/2022,O,11920968,27616,27616,27616,469472
12/7/2022,P,6782013,3699,7398,3699,902556
12/8/2022,BE,3936,391,391,391,114172
12/8/2022,C,2392195,1245,4980,1245,366030
12/8/2022,E,7491476,38032,38032,38032,13767584
12/8/2022,G,5787392,2333,2333,2333,1285483
12/8/2022,M,1430946,1436,1436,1436,74672
12/8/2022,O,9313646,3264,3264,3264,1517760
12/8/2022,P,6852968,7997,7997,7997,4630263
12/8/2022,N,288291,1143,1143,1143,1143
12/9/2022,BE,452817,135,405,135,20655
12/9/2022,C,2817274,2294,6882,2294,626262
12/9/2022,E,9770773,32892,65784,32892,5098260
12/9/2022,G,7026870,7816,15632,7816,132872
12/9/2022,M,885154,184,184,184,11960
12/9/2022,O,13064904,6819,13638,6819,2802609
12/9/2022,P,6576301,10415,20830,10415,2884955
12/9/2022,N,36783,1212,1212,1212,1212
12/10/2022,BE,440738,1009,4036,1009,150341
12/10/2022,C,1340870,5090,5090,5090,2438110
12/10/2022,E,3629395,35236,70472,35236,8456640
12/10/2022,G,2274701,10485,20970,10485,1782450
12/10/2022,M,708139,628,628,628,35796
12/10/2022,O,13562663,9105,18210,9105,628245
12/10/2022,P,8297723,8213,8213,8213,3022384
12/10/2022,N,190865,694,694,694,694
12/11/2022,BE,360421,806,806,806,186992
12/11/2022,C,1320846,325,975,325,56225
12/11/2022,E,3850031,33928,33928,33928,237496
12/11/2022,G,619596,11480,22960,11480,861000
12/11/2022,M,962750,1300,1300,1300,76700
12/11/2022,O,8537962,8117,16234,8117,1956197
12/11/2022,P,8485531,5045,15135,5045,645760
12/11/2022,N,248404,1117,1117,1117,1117
12/12/2022,BE,638229,267,267,267,41118
12/12/2022,C,2826293,1284,3852,1284,675384
12/12/2022,E,10694433,37808,37808,37808,12779104
12/12/2022,G,6992100,9555,9555,9555,4720170
12/12/2022,M,579114,1486,1486,1486,117394
12/12/2022,O,3283153,4828,9656,4828,2476764
12/12/2022,P,1882246,1932,5796,1932,1207500
12/12/2022,N,222297,52,52,52,52
12/13/2022,BE,39002,991,3964,991,202164
12/13/2022,C,2510289,1591,4773,1591,765271
12/13/2022,E,1838639,19117,38234,19117,9004107
12/13/2022,G,6512407,3794,7588,3794,724654
12/13/2022,M,579673,1180,1180,1180,81420
12/13/2022,O,9866547,13006,26012,13006,7556486
12/13/2022,P,3661550,7194,7194,7194,1992738
12/13/2022,N,76767,98,98,98,98
12/14/2022,BE,257744,194,388,194,40934
12/14/2022,C,3321979,2820,5640,2820,163560
12/14/2022,E,8126281,1072,1072,1072,523136
12/14/2022,G,2285535,4290,8580,4290,1123980
12/14/2022,M,1432720,1293,1293,1293,72408
12/14/2022,O,6354991,16197,32394,16197,6203451
12/14/2022,P,1696703,12642,37926,12642,935508
12/14/2022,N,308046,700,700,700,700
12/15/2022,BE,602957,1173,3519,1173,275655
12/15/2022,C,3480689,3413,13652,3413,331061
12/15/2022,E,5263633,9354,9354,9354,308682
12/15/2022,G,738797,13908,27816,13908,3699528
12/15/2022,M,1140739,1312,1312,1312,39360
12/15/2022,O,1162283,29470,58940,29470,3418520
12/15/2022,P,6859202,2585,7755,2585,610060
12/15/2022,N,186831,1246,1246,1246,1246
12/16/2022,BE,642644,1005,1005,1005,179895
12/16/2022,C,2324338,3862,11586,3862,1359424
12/16/2022,E,2676178,36794,73588,36794,9787204
12/16/2022,G,5466554,2676,5352,2676,2100660
12/16/2022,M,1055243,1504,1504,1504,49632
12/16/2022,O,954949,20678,20678,20678,5893230
12/16/2022,P,7585091,10069,10069,10069,6695885
12/16/2022,N,22151,1103,1103,1103,1103
12/17/2022,BE,159630,652,1956,652,168216
12/17/2022,C,1795890,710,710,710,176080
12/17/2022,E,3364186,27371,54742,27371,7116460
12/17/2022,G,7424419,9519,9519,9519,2160813
12/17/2022,M,586875,1284,1284,1284,114276
12/17/2022,O,5337295,9937,19874,9937,2424628
12/17/2022,P,857878,1721,3442,1721,1237399
12/17/2022,N,305826,325,325,325,325
12/18/2022,BE,269560,1545,3090,1545,333720
12/18/2022,C,1947758,787,2361,787,402944
12/18/2022,E,9326058,9741,19482,9741,4656198
12/18/2022,G,6188659,1640,3280,1640,1426800
12/18/2022,M,906662,55,55,55,495
12/18/2022,O,9213778,28855,57710,28855,15466280
12/18/2022,P,3139873,2072,2072,2072,1046360
12/18/2022,N,90564,10,10,10,10
12/19/2022,BE,590077,706,706,706,164498
12/19/2022,C,987413,4677,14031,4677,238527
12/19/2022,E,6025377,23671,23671,23671,3029888
12/19/2022,G,1374427,3780,7560,3780,1047060
12/19/2022,M,1119690,897,897,897,69966
12/19/2022,O,11973368,9191,9191,9191,4641455
12/19/2022,P,6121530,9221,9221,9221,4426080
12/19/2022,N,177458,331,331,331,331
12/20/2022,BE,552455,280,1120,280,19320
12/20/2022,C,112336,3921,7842,3921,458757
12/20/2022,E,10391784,26869,53738,26869,13595714
12/20/2022,G,178224,10969,21938,10969,5660004
12/20/2022,M,69566,305,305,305,5185
12/20/2022,O,7095304,29534,29534,29534,14412592
12/20/2022,P,5020732,8357,8357,8357,2782881
12/20/2022,N,52562,909,909,909,909
12/21/2022,BE,70192,223,669,223,40809
12/21/2022,C,3107282,1132,4528,1132,670144
12/21/2022,E,4557985,17397,17397,17397,608895
12/21/2022,G,6387445,11688,23376,11688,2127216
12/21/2022,M,359138,207,207,207,8694
12/21/2022,O,2411530,8239,16478,8239,2084467
12/21/2022,P,848741,3652,3652,3652,368852
12/21/2022,N,245276,935,935,935,935
12/22/2022,BE,157982,1066,4264,1066,266500
12/22/2022,C,1610930,719,2876,719,419896
12/22/2022,E,4084080,5537,5537,5537,149499
12/22/2022,G,3073425,12531,12531,12531,9974676
12/22/2022,M,766620,770,770,770,23870
12/22/2022,O,8131898,18290,18290,18290,4974880
12/22/2022,P,7080363,6416,12832,6416,5209792
12/22/2022,N,267631,537,537,537,537
12/23/2022,BE,345557,1630,4890,1630,268950
12/23/2022,C,1412200,2929,5858,2929,963641
12/23/2022,E,3390364,13017,26034,13017,2954859
12/23/2022,G,3057596,13830,27660,13830,9100140
12/23/2022,M,621805,1453,1453,1453,39231
12/23/2022,O,6374145,4702,9404,4702,987420
12/23/2022,P,216761,4338,4338,4338,3227472
12/23/2022,N,149017,155,155,155,155
12/24/2022,BE,325651,776,2328,776,137352
12/24/2022,C,350347,3860,11580,3860,1559440
12/24/2022,E,10058562,19818,39636,19818,8046108
12/24/2022,G,3122405,12613,12613,12613,5814593
12/24/2022,M,9017,1487,1487,1487,32714
12/24/2022,O,7173912,6890,6890,6890,2804230
12/24/2022,P,1195532,9682,9682,9682,3204742
12/24/2022,N,80419,73,73,73,73
12/25/2022,BE,398637,808,1616,808,159984
12/25/2022,C,1202222,5399,5399,5399,2872268
12/25/2022,E,801320,17400,17400,17400,9100200
12/25/2022,G,2304048,2961,2961,2961,1157751
12/25/2022,M,90607,941,941,941,79985
12/25/2022,O,7652974,3533,7066,3533,388630
12/25/2022,P,2936367,9568,28704,9568,6831552
12/25/2022,N,85727,26,26,26,26
12/26/2022,BE,3265,387,1548,387,65403
12/26/2022,C,1890377,3668,7336,3668,289772
12/26/2022,E,5461156,31279,31279,31279,10040559
12/26/2022,G,6486113,2098,2098,2098,81822
12/26/2022,M,521837,732,732,732,10248
12/26/2022,O,10411573,28260,28260,28260,15797340
12/26/2022,P,2890148,6621,6621,6621,1913469
12/26/2022,N,331170,388,388,388,388
12/27/2022,BE,305799,890,890,890,102350
12/27/2022,C,3426601,4460,17840,4460,307740
12/27/2022,E,8772608,23621,23621,23621,12495509
12/27/2022,G,3386405,10484,10484,10484,5252484
12/27/2022,M,563464,347,347,347,20473
12/27/2022,O,12705626,10597,10597,10597,1419998
12/27/2022,P,3936493,7880,23640,7880,520080
12/27/2022,N,332250,451,451,451,451
